PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=20.4 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=164 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=295 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=397 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=483 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=578 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=715 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=808 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=895 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=1026 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=1113 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=1209 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=1327 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=1419 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=1473 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=1485 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=1476 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=1491 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=1481 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=1457 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=1452 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=1448 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=1444 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=1433 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=1429 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=1403 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=1416 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=1395 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=1292 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=1231 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=1179 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=1119 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=1076 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=1025 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=981 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=930 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=887 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=835 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=792 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=711 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=701 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=706 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=702 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=707 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=703 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=700 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=698 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=728 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=773 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=777 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=773 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=782 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=786 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=774 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=764 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=761 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=767 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=772 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=762 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=767 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=764 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=834 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=831 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=828 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=825 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=821 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=818 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=823 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=804 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=766 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=771 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=841 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=935 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=1044 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=1049 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=1051 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=1048 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=1041 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=975 ms
